strategy_name,submission_id,filename,submitted_at,artifact_path,run_dir,final_pnl,max_pnl,min_pnl,max_drawdown,max_drawdown_pct,first_positive_ts,pnl_slope,pnl_volatility,num_points,time_horizon,peak_to_final_drop,recovery_after_drawdown,trade_count,products,raw_fields_found
v4a_aggressive_take,178762,47-v4a_aggressive_take.py,2026-04-16T03:56:32.246000+00:00,runs/2026-04-15_23-56-31_v4a_aggressive_take/artifact.json,runs/2026-04-15_23-56-31_v4a_aggressive_take,4124.78125,4124.78125,0.0,28.9765625,0.14837712519319937,3500.0,0.04436783266734629,8.777872105965384,500,99800.0,0.0,3165.859375,,,
v4j_L1_10,178807,48-v4j_L1_10.py,2026-04-16T03:58:31.770000+00:00,runs/2026-04-15_23-58-31_v4j_L1_10/artifact.json,runs/2026-04-15_23-58-31_v4j_L1_10,6410.625,6410.625,0.0,41.15625,0.1282146160962072,1100.0,0.06856660956971952,17.53787534683252,500,99800.0,0.0,1568.71875,,,
v4d_pepper_max,178852,49-v4d_pepper_max.py,2026-04-16T04:00:35.925000+00:00,runs/2026-04-16_00-00-35_v4d_pepper_max/artifact.json,runs/2026-04-16_00-00-35_v4d_pepper_max,4215.625,4215.625,0.0,22.71875,0.0340201245807379,6500.0,0.045231057214541355,8.853827098877236,500,99800.0,0.0,1361.78125,,,
v4e_stacked,178888,50-v4e_stacked.py,2026-04-16T04:02:25.489000+00:00,runs/2026-04-16_00-02-25_v4e_stacked/artifact.json,runs/2026-04-16_00-02-25_v4e_stacked,6289.78125,6289.78125,0.0,44.46875,0.1282146160962072,1100.0,0.06708158894135577,16.559457823372046,500,99800.0,0.0,1567.5625,,,
a_L1_size_8_a_k_inv_1.0_a_take_edge_buy_1_a_take_edge_sell_2,179667,59-a_L1_size_8_a_k_inv_1.0_a_take_edge_buy_1_a_take_edge_sell_2.py,2026-04-16T04:31:58.370000+00:00,runs/2026-04-16_00-31-58_a_L1_size_8_a_k_inv_1.0_a_take_edge_buy_1_a_take_edge_sell_2/artifact.json,runs/2026-04-16_00-31-58_a_L1_size_8_a_k_inv_1.0_a_take_edge_buy_1_a_take_edge_sell_2,6247.40625,6247.40625,0.0,39.4375,0.1282146160962072,1100.0,0.06676340591502991,16.997792970676265,500,99800.0,0.0,1556.125,,,
a_L1_size_8_a_k_inv_1.0_a_take_edge_buy_1,179696,60-a_L1_size_8_a_k_inv_1.0_a_take_edge_buy_1.py,2026-04-16T04:33:32.185000+00:00,runs/2026-04-16_00-33-32_a_L1_size_8_a_k_inv_1.0_a_take_edge_buy_1/artifact.json,runs/2026-04-16_00-33-32_a_L1_size_8_a_k_inv_1.0_a_take_edge_buy_1,6322.375,6322.375,0.0,52.84375,0.1282146160962072,1100.0,0.06743269864181019,16.180913608462497,500,99800.0,0.0,1564.9375,,,
a_L1_size_8_a_k_inv_1.0_a_take_edge_buy_1_a_take_edge_sell_4,179755,61-a_L1_size_8_a_k_inv_1.0_a_take_edge_buy_1_a_take_edge_sell_4.py,2026-04-16T04:35:36.944000+00:00,runs/2026-04-16_00-35-36_a_L1_size_8_a_k_inv_1.0_a_take_edge_buy_1_a_take_edge_sell_4/artifact.json,runs/2026-04-16_00-35-36_a_L1_size_8_a_k_inv_1.0_a_take_edge_buy_1_a_take_edge_sell_4,6086.875,6086.875,0.0,64.5625,0.1282146160962072,1100.0,0.06418988437719376,16.857384273487135,500,99800.0,0.0,1519.9375,,,
a_L1_size_8_a_k_inv_1.0_a_take_edge_sell_2,179797,62-a_L1_size_8_a_k_inv_1.0_a_take_edge_sell_2.py,2026-04-16T04:37:31.062000+00:00,runs/2026-04-16_00-37-30_a_L1_size_8_a_k_inv_1.0_a_take_edge_sell_2/artifact.json,runs/2026-04-16_00-37-30_a_L1_size_8_a_k_inv_1.0_a_take_edge_sell_2,6150.9375,6150.9375,0.0,58.65625,0.1282146160962072,1100.0,0.06567224951493555,18.166425996039447,500,99800.0,0.0,5183.65625,,,
a_L1_size_8_a_k_inv_1.0,179846,63-a_L1_size_8_a_k_inv_1.0.py,2026-04-16T04:39:36.451000+00:00,runs/2026-04-16_00-39-36_a_L1_size_8_a_k_inv_1.0/artifact.json,runs/2026-04-16_00-39-36_a_L1_size_8_a_k_inv_1.0,6289.78125,6289.78125,0.0,44.46875,0.1282146160962072,1100.0,0.06708158894135577,16.559457823372046,500,99800.0,0.0,1567.5625,,,
s182338_a_base_size_5_a_half_spread_3_a_take_edge_0,180544,68-s182338_a_base_size_5_a_half_spread_3_a_take_edge_0.py,2026-04-16T05:05:24.111000+00:00,runs/2026-04-16_01-05-23_s182338_a_base_size_5_a_half_spread_3_a_take_edge_0/artifact.json,runs/2026-04-16_01-05-23_s182338_a_base_size_5_a_half_spread_3_a_take_edge_0,9480.125,9480.125,-682.0,439.09375,0.011475855404221906,7100.0,0.10245002079617693,24.873662738320736,500,99800.0,0.0,10162.125,,,
s182338_a_base_size_5_a_half_spread_3_a_take_edge_1,180605,69-s182338_a_base_size_5_a_half_spread_3_a_take_edge_1.py,2026-04-16T05:07:39.943000+00:00,runs/2026-04-16_01-07-39_s182338_a_base_size_5_a_half_spread_3_a_take_edge_1/artifact.json,runs/2026-04-16_01-07-39_s182338_a_base_size_5_a_half_spread_3_a_take_edge_1,9419.0625,9419.0625,-682.0,439.09375,0.0064376334631327725,7100.0,0.10200541576885057,24.313178379506358,500,99800.0,0.0,10101.0625,,,
s182338_a_base_size_5_a_half_spread_3,180657,70-s182338_a_base_size_5_a_half_spread_3.py,2026-04-16T05:09:35.101000+00:00,runs/2026-04-16_01-09-34_s182338_a_base_size_5_a_half_spread_3/artifact.json,runs/2026-04-16_01-09-34_s182338_a_base_size_5_a_half_spread_3,9421.34375,9421.34375,-682.0,439.09375,0.0064376334631327725,7100.0,0.1020566077612748,24.287618883808463,500,99800.0,0.0,10103.34375,,,
